4400,4475,0.13288
4400,4319,0.55539
4400,4088,0.05959
4400,4479,0.04287
4400,4303,0.38907
4400,4401,0.03368
4400,4455,0.11761
4300,4475,0.67415
4300,4319,0.02607
4300,4088,0.49714
4300,4303,0.16432
4300,4479,0.56982
4300,4401,0.5859
4300,4455,0.66892
4401,4475,0.11057
4401,4319,0.58749
4401,4088,0.08957
4401,4479,0.03571
4401,4303,0.42159
4401,4401,0
4401,4455,0.08902
4479,4475,0.14439
4479,4319,0.56999
4479,4088,0.07475
4479,4479,0
4479,4303,0.40592
4479,4401,0.03571
4479,4455,0.11893
4088,4475,0.19195
4088,4319,0.49825
4088,4088,0
4088,4479,0.07475
4088,4303,0.33292
4088,4401,0.08957
4088,4455,0.17695
4455,4475,0.03708
4455,4319,0.67176
4455,4088,0.17695
4455,4479,0.11893
4455,4303,0.50483
4455,4401,0.08902
4455,4455,0
4475,4475,0
4475,4319,0.6784
4475,4088,0.19195
4475,4479,0.14439
4475,4303,0.51094
4475,4401,0.11057
4475,4455,0.03708
4319,4475,0.6784
4319,4319,0
4319,4088,0.49825
4319,4303,0.1675
4319,4479,0.56999
4319,4401,0.58749
4319,4455,0.67176
4303,4475,0.51094
4303,4319,0.1675
4303,4088,0.33292
4303,4303,0
4303,4479,0.40592
4303,4401,0.42159
4303,4455,0.50483
4475,4400,0.13288
4319,4400,0.55539
4088,4400,0.05959
4479,4400,0.04287
4303,4400,0.38907
4401,4400,0.03368
4455,4400,0.11761
4475,4300,0.67415
4319,4300,0.02607
4088,4300,0.49714
4303,4300,0.16432
4479,4300,0.56982
4401,4300,0.5859
4455,4300,0.66892